		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)
VARIABLES	LABELS	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$	Eq. (\ref{gravity1})	$+\delta_t+\zeta_i$	$+\theta_{ij}$
																																																																																																																															
ln_GDP	$\ln\text{GDP}_{it}$	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**	1.024***	0.594	1.567**	0.981***	0.389	0.259	0.846***	2.688***	2.261**
		(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)	(0.049)	(0.783)	(0.685)	(0.042)	(0.540)	(0.510)	(0.055)	(1.018)	(0.907)
ln_GDP_j	$\ln\text{GDP}_{jt}$	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386	0.807***	0.756***	-0.071	0.711***	0.661***	0.419	0.816***	0.683***	0.386
		(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)	(0.035)	(0.035)	(0.338)	(0.029)	(0.030)	(0.277)	(0.042)	(0.041)	(0.280)
ln_distw	$\ln\text{Distance (w)}$	-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***		-0.699***	-0.727***		-0.659***	-0.718***		-0.856***	-0.777***	
		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)		(0.072)	(0.063)		(0.058)	(0.058)		(0.077)	(0.065)	
Haven	$\text{Haven}_j$ $(\gamma_1)$	2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*		2.366***	2.421***		2.666***	2.629***		2.280***	1.275*	
		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)		(0.738)	(0.724)		(0.709)	(0.645)		(0.781)	(0.694)	
