"Flow","MEASURE_PRINCIPLE","FDI_TYPE","MEASURE_PRINCIPLE_label.en","FDI_TYPE_label.en","TYPE_ENTITY","TYPE_ENTITY_label.en"
"FDIInc_Inw_Dividends","DI","T_D42S_F5","Directional principle: Inward","FDI income - Dividends","ALL","All resident units"
"FDIInc_Inw_Dividends_SPE","DI","T_D42S_F5","Directional principle: Inward","FDI income - Dividends","RSP","Resident SPEs"
"FDIInc_Inw_Dividends_NSPE","DI","T_D42S_F5","Directional principle: Inward","FDI income - Dividends","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Inw_Equity","DI","T_D4S_F5","Directional principle: Inward","FDI income - Income on Equity","ALL","All resident units"
"FDIInc_Inw_Equity_SPE","DI","T_D4S_F5","Directional principle: Inward","FDI income - Income on Equity","RSP","Resident SPEs"
"FDIInc_Inw_Equity_NSPE","DI","T_D4S_F5","Directional principle: Inward","FDI income - Income on Equity","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Inw_Debt","DI","T_D4Q_FL","Directional principle: Inward","FDI income - Interests from income on debt","ALL","All resident units"
"FDIInc_Inw_Debt_SPE","DI","T_D4Q_FL","Directional principle: Inward","FDI income - Interests from income on debt","RSP","Resident SPEs"
"FDIInc_Inw_Debt_NSPE","DI","T_D4Q_FL","Directional principle: Inward","FDI income - Interests from income on debt","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Inw_Reinvested","DI","T_D43S_F5","Directional principle: Inward","FDI income - Reinvested earnings","ALL","All resident units"
"FDIInc_Inw_Reinvested_SPE","DI","T_D43S_F5","Directional principle: Inward","FDI income - Reinvested earnings","RSP","Resident SPEs"
"FDIInc_Inw_Reinvested_NSPE","DI","T_D43S_F5","Directional principle: Inward","FDI income - Reinvested earnings","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Inw_Total","DI","T_D4P_F","Directional principle: Inward","FDI income - Total","ALL","All resident units"
"FDIInc_Inw_Total_SPE","DI","T_D4P_F","Directional principle: Inward","FDI income - Total","RSP","Resident SPEs"
"FDIInc_Inw_Total_NSPE","DI","T_D4P_F","Directional principle: Inward","FDI income - Total","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Out_Dividends","DO","T_D42S_F5","Directional principle: Outward","FDI income - Dividends","ALL","All resident units"
"FDIInc_Out_Dividends_SPE","DO","T_D42S_F5","Directional principle: Outward","FDI income - Dividends","RSP","Resident SPEs"
"FDIInc_Out_Dividends_NSPE","DO","T_D42S_F5","Directional principle: Outward","FDI income - Dividends","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Out_Equity","DO","T_D4S_F5","Directional principle: Outward","FDI income - Income on Equity","ALL","All resident units"
"FDIInc_Out_Equity_SPE","DO","T_D4S_F5","Directional principle: Outward","FDI income - Income on Equity","RSP","Resident SPEs"
"FDIInc_Out_Equity_NSPE","DO","T_D4S_F5","Directional principle: Outward","FDI income - Income on Equity","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Out_Debt","DO","T_D4Q_FL","Directional principle: Outward","FDI income - Interests from income on debt","ALL","All resident units"
"FDIInc_Out_Debt_SPE","DO","T_D4Q_FL","Directional principle: Outward","FDI income - Interests from income on debt","RSP","Resident SPEs"
"FDIInc_Out_Debt_NSPE","DO","T_D4Q_FL","Directional principle: Outward","FDI income - Interests from income on debt","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Out_Reinvested","DO","T_D43S_F5","Directional principle: Outward","FDI income - Reinvested earnings","ALL","All resident units"
"FDIInc_Out_Reinvested_SPE","DO","T_D43S_F5","Directional principle: Outward","FDI income - Reinvested earnings","RSP","Resident SPEs"
"FDIInc_Out_Reinvested_NSPE","DO","T_D43S_F5","Directional principle: Outward","FDI income - Reinvested earnings","ROU","Resident Operating Units (Non-SPEs)"
"FDIInc_Out_Total","DO","T_D4P_F","Directional principle: Outward","FDI income - Total","ALL","All resident units"
"FDIInc_Out_Total_SPE","DO","T_D4P_F","Directional principle: Outward","FDI income - Total","RSP","Resident SPEs"
"FDIInc_Out_Total_NSPE","DO","T_D4P_F","Directional principle: Outward","FDI income - Total","ROU","Resident Operating Units (Non-SPEs)"
