"","COU_label.en","obsTime","World","Unallocated","Allocated_Share","totalFDI","total_share","Difference","text","totalFDIHaven","Haven_share","totalFDISmallHaven","SmallHaven_share","totalFDILargeHaven","LargeHaven_share"
"1","Australia",2009,11653.408204648,NA,NA,6773.51427234444,58,NA,"58 (NaN)",881.297769458739,13,10.138823896428,0,871.158945562311,13
"2","Australia",2010,16396.991377729,7403.2287653642,55,8993.7626123648,55,0,"55 (55)",2036.32361034672,23,338.470005503579,4,1697.85360484314,19
"3","Australia",2011,19810.211449201,12033.006704487,39,7777.20474471371,39,0,"39 (39)",2129.96389891696,27,8.2516761217122,0,2121.71222279525,27
"4","Australia",2012,20772.256728778,8245.3416149063,60,12526.9151138717,60,0,"60 (60)",2085.9213250518,17,74.5341614906834,1,2011.38716356112,16
"5","Australia",2013,19746.236974141,9004.245465071,54,10741.99150907,54,0,"54 (54)",2237.55306831342,21,14.473176379776,0,2223.07989193365,21
"6","Australia",2014,19157.20209122,5185.6859563724,73,13971.5161348476,73,0,"73 (73)",1617.09031909142,12,21.6333153055709,0,1595.45700378585,11
"7","Australia",2015,13810.203621609,5375.3099406412,61,8434.8936809678,61,0,"61 (61)",1419.34029604027,17,6.7623412728229,0,1412.57795476745,17
"8","Austria",2012,13777.63496144,NA,NA,12326.4781491003,89,NA,"89 (NaN)",634.961439588697,5,0,0,634.961439588697,5
"9","Austria",2013,13886.897650339,19.912385503783,100,11931.501393867,86,14,"86 (100)",1843.88689765034,15,0,0,1843.88689765034,15
"10","Austria",2014,11442.21838928,-3.98036353987,100,5754.27889080534,50,50,"50 (100)",1064.08385299191,18,0,0,1064.08385299191,18
"11","Austria",2015,13509.70604548,-14.420410427066,100,10635.6073211314,79,21,"79 (100)",1284.52579034942,12,0,0,1284.52579034942,12
"12","Belgium",2013,17341.032789061,-1.3274923669189,100,16318.8636665339,94,6,"94 (100)",6081.24253285539,37,1.3274923669189,0,6079.91504048847,37
"13","Belgium",2014,17923.577020034,-1.3267878466233,100,16819.689531644,94,6,"94 (100)",5576.48931935787,33,0,0,5576.48931935787,33
"14","Belgium",2015,12004.437049362,0,100,9667.22129783691,81,19,"81 (100)",148.641153632812,2,-1.1092623405435,0,149.750415973356,2
"15","Canada",2011,44519.716885743,23219.413549039,48,20310.4145601618,46,2,"46 (48)",0,0,0,0,0,0
"16","Canada",2012,46164.164164164,27814.814814815,40,18290.2902902899,40,0,"40 (40)",0,0,0,0,0,0
"17","Canada",2013,43173.478303077,22108.533152121,49,21064.9451509562,49,0,"49 (49)",0,0,0,0,0,0
"18","Canada",2014,46703.177333213,25948.221236535,44,20754.9560966776,44,0,"44 (44)",0,0,0,0,0,0
"19","Canada",2015,40794.023312212,19506.375655167,52,21288.4299460218,52,0,"52 (52)",0,0,0,0,0,0
"20","Czech Republic",2013,1320.3481506096,NA,NA,1181.21908949158,89,NA,"89 (NaN)",373.530635719948,32,49.4253725620514,4,324.105263157896,27
"21","Czech Republic",2014,1588.9362552872,NA,NA,1576.92428870112,99,NA,"99 (NaN)",381.481804430146,24,63.4165470329222,4,318.065257397224,20
"22","Czech Republic",2015,1767.6710852682,NA,NA,1769.11539869069,100,NA,"100 (NaN)",220.618793965765,12,9.61419916236327,1,211.004594803402,12
"23","Denmark",2013,13356.11805333,0.17800562497775,100,13043.3621702446,98,2,"98 (100)",4036.45555199542,31,346.932963081641,3,3689.52258891378,28
"24","Denmark",2014,14511.185861498,1.957748233408,100,12991.7952551302,90,10,"90 (100)",3178.31526865645,24,0,0,3178.31526865645,24
"25","Denmark",2015,13178.1009308,2.081660570375,100,12826.1516043655,97,3,"97 (100)",3908.4664109198,30,23.9390965593125,0,3884.52731436049,30
"26","Estonia",2010,402.63841059603,0,100,411.739072847685,102,-2,"102 (100)",132.368211920527,32,0,0,132.368211920527,32
"27","Estonia",2011,535.49582172702,NA,NA,533.591922005575,100,NA,"100 (NaN)",149.763231197771,28,0.27855153203343,0,149.484679665737,28
"28","Estonia",2012,440.4588688946,0.07840616966578,100,439.809768637532,100,0,"100 (100)",161.046272493572,37,1.5899742930591,0,159.456298200513,36
"29","Estonia",2013,618.86101154918,-8e-14,100,620.998274259926,100,0,"100 (100)",199.96017522899,32,-1.8093720961104,0,201.769547325101,32
"30","Estonia",2014,564.49648401221,0.00132678784667,100,569.036752023354,101,-1,"101 (100)",182.304630489583,32,5.185086904604,1,177.119543584979,31
"31","Estonia",2015,320.95840266223,-0.00110926234058,100,321.930116472545,100,0,"100 (100)",100.219633943427,31,1.79922351636158,1,98.4204104270659,31
"32","France",2005,54085.259756401,NA,NA,46732.5379070346,86,NA,"86 (NaN)",4066.61695252302,9,0,0,4066.61695252302,9
"33","France",2006,64969.248148613,NA,NA,55978.4109451488,86,NA,"86 (NaN)",5662.10618802563,10,0,0,5662.10618802563,10
"34","France",2007,69368.925393566,NA,NA,60268.3093771389,87,NA,"87 (NaN)",8776.18069815198,15,0,0,8776.18069815198,15
"35","France",2008,63378.65497076,NA,NA,50502.9239766081,80,NA,"80 (NaN)",4593.56725146205,9,0,0,4593.56725146205,9
"36","France",2009,57625.729369269,NA,NA,48937.2047791056,85,NA,"85 (NaN)",6929.70269519313,14,0,0,6929.70269519313,14
"37","France",2010,77095.364238411,NA,NA,65536.4238410596,85,NA,"85 (NaN)",8867.54966887414,14,0,0,8867.54966887414,14
"38","France",2011,76101.671309192,NA,NA,62480.5013927578,82,NA,"82 (NaN)",8920.6128133705,14,0,0,8920.6128133705,14
"39","France",2012,78844.473007712,NA,NA,64341.9023136248,82,NA,"82 (NaN)",11714.6529562982,18,0,0,11714.6529562982,18
"40","France",2013,78541.085888756,NA,NA,63829.815478561,81,NA,"81 (NaN)",12165.1400504447,19,0,0,12165.1400504447,19
"41","France",2014,78176.99349874,NA,NA,65141.3029056655,83,NA,"83 (NaN)",12921.5868382646,20,0,0,12921.5868382646,20
"42","France",2015,66168.607875763,NA,NA,52041.0427066002,79,NA,"79 (NaN)",10870.7709373267,21,0,0,10870.7709373267,21
"43","Germany",2005,57613.721103654,2.4857071836938,100,56173.2537907035,97,3,"97 (100)",7879.69177230919,14,101.913994531444,0,7777.77777777775,14
"44","Germany",2006,72407.430651437,2.510355215263,100,71289.0674030374,98,2,"98 (100)",10401.656834442,15,173.214509853142,0,10228.4423245889,14
"45","Germany",2007,84490.075290897,1.3689253935661,100,83066.3928815879,98,2,"98 (100)",15349.760438056,18,-276.522929500344,0,15626.2833675564,19
