"COU","COU_label.fr","COU_label.en","CORP_TAX","CORP_TAX_label.fr","CORP_TAX_label.en","TAR","TAR_label.fr","TAR_label.en","TIME_FORMAT","TIME_FORMAT_label.en","obsTime","obsValue"
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",34
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",30
"AUS","Australie","Australia","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",30
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2000",34
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2001",34
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2002",34
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2003",34
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2004",34
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2005",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2006",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2007",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2008",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2009",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2010",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2011",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2012",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2013",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2014",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2015",25
"AUT","Autriche","Austria","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2016",25
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",39
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",39
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",39
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",33
"BEL","Belgique","Belgium","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",33
