ISO,Haven,All_havens,Small_Haven,Large_Haven
AND,1,1,1,0
AIA,1,1,1,0
ATG,1,1,1,0
ABW,1,1,1,0
BHS,1,1,1,0
BHR,1,1,0,1
BRB,1,1,1,0
BLZ,1,1,1,0
BMU,1,1,1,0
CYM,1,1,1,0
COK,1,1,1,0
CRI,1,1,0,1
CYP,1,1,0,1
DMA,1,1,1,0
GIB,1,1,1,0
GRD,1,1,1,0
GGY,1,1,1,0
HKG,1,1,0,1
IRL,1,1,0,1
IMN,1,1,1,0
JEY,1,1,1,0
JOR,0,1,,
LBN,1,1,0,1
LBR,1,1,0,1
LIE,1,1,1,0
LUX,1,1,0,1
MAC,1,1,0,1
MYS,0,1,,
MDV,1,1,1,0
MLT,1,1,0,1
MHL,1,1,1,0
MUS,1,1,0,1
MCO,1,1,,
MSR,1,1,1,0
NRU,1,1,1,0
ANT,1,1,1,0
NIU,1,1,1,0
PLW,0,1,,
PAN,1,1,0,1
KNA,1,1,1,0
LCA,1,1,1,0
VCT,1,1,1,0
WSM,1,1,1,0
SMR,0,1,,
SYC,1,1,1,0
SGP,1,1,0,1
CHE,1,1,0,1
TON,0,1,,
TCA,1,1,1,0
URY,0,1,,
VUT,1,1,1,0
VGB,1,1,1,0
VIR,0,1,,
BES,1,1,1,0
CUW,1,1,1,0
SXM,1,1,1,0
