"MEASURE","MEASURE_label.en","TIME_FORMAT","TIME_FORMAT_label.en","UNIT","UNIT_label.en","POWERCODE","POWERCODE_label.en"
"CD","National currency per US dollar","P1Y","Annual","EUR","Euro",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","MXN","Mexican Peso",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","JPY","Yen",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","AUD","Australian Dollar",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","NOK","Norwegian Krone",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","HUF","Forint",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","KRW","Won",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","GBP","Pound Sterling",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","CZK","Czech Koruna",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","SEK","Swedish Krona",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","DKK","Danish Krone",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","PLN","Zloty",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","TRY","Turkish Lira",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","CAD","Canadian Dollar",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","CHF","Swiss Franc",0,"Units"
"CD","National currency per US dollar","P1Y","Annual","USD","US Dollar",0,"Units"
